,id,title,tags
43,381620.0,Life of Rome,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']"
44,714020.0,Idle Adventure,"['Early Access', 'Free to Play', 'Adventure', 'RPG']"
46,759920.0,Souland,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']"
47,659780.0,Darkness and a Crowd,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']"
48,603280.0,TAROTICA VOO DOO,"['Indie', 'Action', 'Adventure', 'RPG']"
49,753110.0,Chronicles of Vinland,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']"
50,753100.0,Orbitality,"['Indie', 'Action']"
52,764280.0,Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']"
54,758550.0,Mirt. Tales of the Cold Land. Chapter 2,"['Adventure', 'Indie', 'Casual', 'Free to Play']"
55,3800.0,Advent Rising,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']"
56,1520.0,DEFCON,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']"
57,2420.0,The Ship: Single Player,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']"
58,4000.0,Garry's Mod,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']"
59,4230.0,RACE - The WTCC Game,"['Racing', 'Simulation']"
60,4900.0,Zen of Sudoku,"['Casual', 'Indie', 'Puzzle']"
61,2520.0,Gumboy - Crazy Adventures™,"['Casual', 'Indie', 'Singleplayer']"
62,6200.0,Ghost Master®,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']"
63,6210.0,Vegas: Make It Big™,"['Strategy', 'Simulation', 'Management']"
64,6300.0,Dreamfall: The Longest Journey,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']"
65,2990.0,FlatOut 2™,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']"
66,6220.0,FlatOut,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']"
67,6510.0,Lost Planet™: Extreme Condition,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']"
68,3980.0,CivCity: Rome,"['Strategy', 'City Builder', 'Simulation', 'Rome']"
69,1700.0,Arx Fatalis,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']"
70,6310.0,The Longest Journey,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']"
71,3990.0,Civilization IV®: Warlords,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']"
72,7610.0,Railroad Tycoon 3,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']"
73,7600.0,Sid Meier's Railroads!,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']"
75,7620.0,Railroad Tycoon II Platinum,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']"
76,2540.0,RIP - Trilogy™,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']"
77,7650.0,X-COM: Terror From the Deep,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']"
78,8000.0,Tomb Raider: Anniversary,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']"
79,6550.0,Devil May Cry® 3 Special Edition,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']"
80,8200.0,Sam &amp; Max 101: Culture Shock,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']"
81,2290.0,Final DOOM,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']"
82,2570.0,Vigil: Blood Bitterness™,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']"
83,8210.0,Sam &amp; Max 102: Situation: Comedy,"['Adventure', 'Action']"
84,2280.0,Ultimate Doom,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']"
85,9160.0,Master Levels for Doom II,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']"
86,2300.0,DOOM II,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']"
87,2270.0,Wolfenstein 3D,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']"
88,9010.0,Return to Castle Wolfenstein,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']"
89,9040.0,QUAKE Mission Pack 1: Scourge of Armagon,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']"
90,9000.0,Spear of Destiny,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]"
91,3810.0,BloodRayne,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']"
92,9030.0,QUAKE Mission Pack 2: Dissolution of Eternity,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']"
93,2310.0,QUAKE,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']"
94,3230.0,Genesis Rising,"['Strategy', 'Space', 'Sci-fi', 'RTS']"
95,9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']"
96,7670.0,BioShock™,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']"
97,4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']"
98,4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']"
99,4760.0,Rome: Total War™ - Collection,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']"
100,4770.0,Rome: Total War™ - Alexander,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']"
101,50970.0,Mystery Case Files: Madame Fate®,"['Casual', 'Hidden Object']"
102,12170.0,Grand Theft Auto,"['Action', 'Classic', 'Open World', 'Singleplayer', '2D', 'Adventure', 'Top-Down', ""1990's""]"
103,12180.0,Grand Theft Auto 2,"['Action', 'Classic', 'Open World', 'Singleplayer', 'Shooter', 'Free to Play', '2D', 'Crime', 'Adventure', 'Violent', 'Gore']"
104,12130.0,Manhunt,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']"
105,12160.0,Midnight Club 2,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']"
106,12150.0,Max Payne 2: The Fall of Max Payne,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']"
107,7000.0,Tomb Raider: Legend,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']"
108,12140.0,Max Payne,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']"
109,17480.0,Command &amp; Conquer: Red Alert 3,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']"
110,12500.0,PuzzleQuest: Challenge of the Warlords,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']"
111,12310.0,Culpa Innata,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']"
112,12510.0,Prison Tycoon 3™: Lockdown,"['Strategy', 'Simulation']"
113,12530.0,Hunting Unlimited™ 2008,"['Action', 'Adventure', 'Strategy', 'Hunting']"
114,12520.0,18 Wheels of Steel: American Long Haul,"['Simulation', 'Racing', 'Driving', 'Open World']"
115,8100.0,Conflict: Denied Ops,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']"
116,2780.0,ARMA: Combat Operations,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']"
117,9730.0,Tycoon City: New York,"['Simulation', 'Management', 'City Builder']"
118,9710.0,Desperados 2: Cooper's Revenge,"['Action', 'Western', 'Strategy', 'Tactical']"
119,9800.0,Death to Spies,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']"
120,9760.0,Act of War: High Treason,"['Action', 'Strategy', 'RTS']"
121,2700.0,RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']"
122,2710.0,Act of War: Direct Action,"['Action', 'Strategy', 'RTS']"
123,13200.0,Unreal 2: The Awakening,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']"
124,13250.0,Unreal Gold,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']"
125,13000.0,Ninja Reflex: Steamworks Edition,"['Indie', 'Casual', 'Ninja']"
126,13560.0,Tom Clancy's Splinter Cell®,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']"
127,13520.0,Far Cry®,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']"
128,13240.0,Unreal Tournament: Game of the Year Edition,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']"
129,13540.0,Tom Clancy's Rainbow Six® Vegas,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']"
130,15210.0,Silent Hunter® III,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']"
131,16180.0,Virtual Villagers - The Secret City,"['Casual', 'Simulation']"
132,3520.0,Mystery P.I.™ - The Vegas Heist,"['Casual', 'Hidden Object']"
133,15970.0,Luxor,"['Casual', 'Match 3']"
134,15950.0,Reaxxion,"['Casual', 'Arcade']"
135,15960.0,Little Farm,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']"
136,15900.0,7 Wonders II,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']"
137,15910.0,Luxor Amun Rising,['Casual']
138,15930.0,Luxor 3,"['Casual', 'Puzzle']"
139,15160.0,Petz® Horsez® 2,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']"
140,15920.0,Luxor 2,['Casual']
141,15080.0,Rayman Raving Rabbids™,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']"
142,15200.0,Silent Hunter®: Wolves of the Pacific,"['Simulation', 'World War II', 'Naval', 'Military']"
143,15320.0,IL-2 Sturmovik: 1946,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']"
144,15240.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Simulation', 'World War II', 'Naval']"
145,8310.0,Bone: Out From Boneville,"['Adventure', 'Point & Click']"
146,12600.0,Midnight Outlaw: 6 Hours to SunUp,['Racing']
147,8320.0,Bone: The Great Cow Race,"['Adventure', 'Point & Click']"
148,12590.0,Sprint Cars Road to Knoxville,['Racing']
149,12580.0,Dr. Daisy Pet Vet,['Casual']
150,12560.0,Ride! Carnival Tycoon,"['Simulation', 'Management']"
151,12570.0,Hot Dish,['Casual']
152,12540.0,Mahjongg Investigations: Under Suspicion,"['Casual', 'Puzzle']"
153,11050.0,Dracula Origin,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']"
154,10520.0,Beijing 2008™ - The Official Video Game of the Olympic Games,['Sports']
155,11040.0,Sherlock Holmes - Nemesis,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']"
156,19500.0,Eternity's Child,"['Indie', 'Adventure', 'Platformer']"
157,11260.0,Pacific Storm Allies,"['Simulation', 'Strategy', 'World War II', 'Naval']"
158,19200.0,Tank Universal,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']"
159,12360.0,FlatOut: Ultimate Carnage,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']"
160,15710.0,Oddworld: Abe's Exoddus®,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']"
161,15700.0,Oddworld: Abe's Oddysee®,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']"
162,8660.0,GTR Evolution Expansion Pack for RACE 07,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']"
163,7770.0,X-COM: Enforcer,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']"
164,7660.0,X-COM: Apocalypse,"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']"
165,7760.0,X-COM: UFO Defense,"['Strategy', 'Classic', 'Turn-Based Strategy', 'Sci-fi', 'Turn-Based', 'Tactical', 'Aliens', 'Singleplayer', 'Difficult', 'Turn-Based Tactics', 'Isometric', 'Base Building', 'Simulation', 'Atmospheric', ""1990's"", 'Action', 'Retro', 'Adventure', 'Management', 'Space']"
166,20510.0,S.T.A.L.K.E.R.: Clear Sky,"['Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'RPG', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']"
167,17330.0,Crysis Warhead®,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']"
168,17300.0,Crysis,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']"
169,7730.0,X-COM: Interceptor,"['Strategy', 'Sci-fi', 'Space', 'Flight', 'Space Sim', 'Singleplayer']"
170,20900.0,The Witcher: Enhanced Edition Director's Cut,"['RPG', 'Fantasy', 'Story Rich', 'Mature', 'Third Person', 'Singleplayer', 'Choices Matter', 'Action', 'Nudity', 'Adventure', 'Dark Fantasy', 'Based On A Novel', 'Atmospheric', 'Great Soundtrack', 'Open World', 'Multiple Endings', 'Medieval', 'Action RPG', 'Magic', 'Classic']"
171,1530.0,Multiwinia,"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']"
172,8690.0,STCC - The Game 1 - Expansion Pack for RACE 07,"['Racing', 'Simulation']"
173,17120.0,Children of the Nile: Alexandria,"['City Builder', 'Simulation', 'Management', 'Historical', 'Singleplayer', 'Sandbox', 'Strategy']"
174,16810.0,Sid Meier's Civilization IV: Colonization,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical', 'Singleplayer', 'Multiplayer', 'Moddable']"
175,19830.0,Tom Clancy's Rainbow Six® 3 Gold,"['Tactical', 'Action', 'FPS', 'Simulation', 'Strategy', 'Realistic', 'First-Person', 'Co-op', 'Shooter', 'Classic', 'Singleplayer']"
176,21000.0,LEGO Batman,"['LEGO', 'Action', 'Adventure', 'Batman', 'Local Co-Op', 'Superhero', 'Family Friendly', 'Co-op', 'Comedy', 'Singleplayer', 'Comic Book', 'Funny', 'Third Person', 'Controller', 'Local Multiplayer', 'Multiplayer']"
177,4460.0,City Life 2008,"['Simulation', 'Strategy', 'City Builder']"
178,17140.0,Hinterland,"['RPG', 'Strategy', 'Fantasy', 'Action RPG', 'Action', 'Singleplayer', 'City Builder']"
179,15390.0,Brothers in Arms: Hell's Highway™,"['Action', 'World War II', 'FPS', 'Tactical', 'Singleplayer', 'Military', 'Story Rich', 'Shooter', 'Gore', 'Atmospheric', 'Strategy', 'First-Person', 'War', 'Multiplayer', 'Historical']"
180,21300.0,Gravitron 2,['Arcade']
181,3050.0,Xpand Rally Xtreme,"['Racing', 'Offroad']"
182,15380.0,Heroes of Might &amp; Magic V: Hammers of Fate,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Fantasy']"
